          c_last_name           |     c_first_name     | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt 
 Mcgrath                        | Chester              | Sir          | Y                     |           108556 |  15
 Mendez                         | Chris                | Sir          | N                     |            78822 |  16
 Mendoza                        | Dorothy              | Miss         | N                     |            16962 |  15
 Miller                         | Margarita            | Mrs.         | Y                     |            70694 |  15
 Milligan                       | Cynthia              | Dr.          | N                     |           182496 |  16
 Mitchell                       | Javier               | Sir          | Y                     |             6382 |  15
 Mitchell                       | Maryjo               | Ms.          | N                     |            50274 |  15
 Moe                            | Julia                | Dr.          | Y                     |           129452 |  15
 Monahan                        | Dolores              | Mrs.         | Y                     |            23420 |  15
 Moreno                         | Joseph               | Mr.          | Y                     |           191926 |  15
 Muniz                          | Lisa                 | Mrs.         | Y                     |           223472 |  16
 Murry                          | Rene                 |              | N                     |           206274 |  15
 Nava                           | Jeanine              | Miss         | Y                     |           239824 |  15
 Nava                           | Rachel               | Ms.          | N                     |           123420 |  15
 Newell                         | Catherine            | Ms.          | N                     |           197352 |  16
 Nguyen                         | James                | Sir          | N                     |           238544 |  15
 Osgood                         | Wilford              | Dr.          | N                     |           213302 |  15
 Owens                          | Robert               | Mr.          | N                     |            10570 |  15
 Pacheco                        | Emma                 | Mrs.         | Y                     |            93148 |  15
 Parker                         | Michael              | Sir          | N                     |             4114 |  15
 Pina                           | Sheri                | Ms.          | Y                     |           216916 |  15
 Pina                           |                      |              | N                     |            74486 |  15
 Plunkett                       | Ashley               | Mrs.         | N                     |           122716 |  15
 Potter                         | Glenda               | Dr.          | N                     |           167644 |  16
 Price                          | Martha               | Ms.          | Y                     |           126614 |  15
 Quinones                       | Eric                 | Sir          | Y                     |           162360 |  16
 Ramos                          | Sandra               | Dr.          | Y                     |           173326 |  15
 Reed                           | Nathaniel            | Mr.          | Y                     |           134306 |  15
 Roberts                        | Joseph               | Sir          | N                     |           169018 |  15
 Roberts                        | Peter                | Mr.          | N                     |            79170 |  15
 Ross                           | Michael              | Mr.          | Y                     |           120658 |  15
 Roundtree                      | Anthony              | Ms.          | N                     |            73594 |  15
 Salazar                        | Matt                 | Sir          | Y                     |            53540 |  15
 Sanchez                        | Lisa                 | Miss         | Y                     |           154278 |  15
 Santiago                       | Sarah                | Miss         | N                     |            13546 |  15
 Savage                         | Margaret             | Mrs.         | N                     |            99806 |  16
 Scott                          | Jeri                 | Ms.          | N                     |           184728 |  15
 Scott                          | Krista               | Dr.          | Y                     |            48266 |  15
 Shannon                        | Marian               | Miss         | Y                     |           144544 |  16
 Simmons                        | Julio                | Dr.          | N                     |            29576 |  16
 Sims                           | Ernesto              | Dr.          | N                     |            51394 |  15
 Singh                          | Vanessa              | Mrs.         | Y                     |           174558 |  15
 Smith                          | Michael              | Sir          | N                     |            65614 |  16
 Smith                          | Sylvia               | Ms.          | Y                     |           103578 |  15
 Sommer                         | Evelyn               | Mrs.         | N                     |           104858 |  16
 Stovall                        | Jennifer             | Dr.          | N                     |           112060 |  15
 Sullivan                       | Victor               | Mr.          | N                     |           175254 |  15
 Thomas                         | Lucia                | Mrs.         | N                     |           228696 |  15
 Thompson                       | Christina            | Mrs.         | N                     |           133822 |  15
 Thompson                       | Jeffrey              | Dr.          | Y                     |            61790 |  15
 Thornton                       | Beverly              | Mrs.         | N                     |           127128 |  15
 Thorpe                         | Thomas               | Dr.          | N                     |            14308 |  15
 Tidwell                        | Cindy                | Mrs.         | N                     |           106964 |  15
 Tolbert                        | Emily                | Miss         | Y                     |           180324 |  16
 Tomlinson                      | Karen                | Miss         | N                     |           156818 |  15
 Turman                         | Jeanette             | Dr.          | Y                     |           217128 |  16
 Turner                         | Kurt                 | Sir          | N                     |           198464 |  15
 Valentin                       | Brenton              | Mr.          | Y                     |           188372 |  15
 Wade                           | Heather              | Mrs.         | Y                     |            21146 |  16
 Walker                         | Jacob                | Mr.          | N                     |           101370 |  16
 Wallace                        | Joseph               | Sir          | N                     |           235046 |  16
 Walters                        | Brian                | Dr.          | Y                     |            35178 |  15
 Walton                         | Alana                | Mrs.         | Y                     |             8236 |  15
 Washburn                       | Joseph               | Sir          | Y                     |           148074 |  15
 Wertz                          | Alvin                | Dr.          | Y                     |           108396 |  16
 White                          | Johnathon            | Mr.          | N                     |            91082 |  15
 Williams                       | Donny                | Mr.          | N                     |            60490 |  15
 Williams                       | Janet                | Miss         | Y                     |           217042 |  15
 Williams                       | Patrick              | Sir          | N                     |            50348 |  15
 Williams                       |                      | Miss         | Y                     |           172994 |  15
 Wilson                         | Terrance             | Dr.          | Y                     |           175932 |  15
 Woodard                        | Ruth                 | Mrs.         | N                     |            45584 |  16
 Woods                          | Mark                 | Mr.          | Y                     |           193262 |  15
 Wright                         | Alice                | Mrs.         | N                     |            38248 |  16
 Yates                          | Robert               | Dr.          | N                     |           160416 |  15
                                | Marian               | Dr.          | N                     |             6280 |  16
                                | Mark                 |              |                       |            76614 |  15
                                | Yu                   |              |                       |           238864 |  15
                                | Zachary              |              | Y                     |            64548 |  15
                                |                      | Miss         |                       |           225978 |  15
                                |                      | Mr.          | Y                     |           121098 |  15
                                |                      | Mrs.         | N                     |           109196 |  16
                                |                      |              | N                     |           221914 |  15
(187 rows)

