          c_last_name           |     c_first_name     |  substr  | ss_ticket_number |   amt    |  profit   
 Adams                          | Joseph               | Midway   |            31596 |  1473.12 | -20615.43
 Adams                          | Juan                 | Fairview |           216356 |  3018.49 | -14897.52
 Adams                          | Juan                 | Fairview |           216356 |          |  -2267.74
 Adams                          | Kevin                | Midway   |            75830 |  5755.83 |  -2455.77
 Adams                          | Margaret             | Midway   |            38142 |  1868.35 | -12638.80
 Adams                          | Michael              | Midway   |           204192 |   133.19 |  -5940.80
 Adams                          | Michelle             | Midway   |            80058 |  1064.42 |  -8713.47
 Adams                          | Nellie               | Midway   |           185480 |   404.74 | -11777.06
 Adams                          | Norma                | Midway   |            73336 |  2013.29 |  -9235.16
 Adams                          | Renee                | Midway   |           203088 |  2540.50 | -11926.03
 Adams                          | Renee                | Midway   |           203088 |     0.00 |    599.76
 Adams                          | Roy                  | Midway   |           164196 |     0.00 | -10557.40
 Adams                          | Sandra               | Fairview |           200220 |   411.07 |  -9185.76
 Adams                          | Timothy              | Midway   |           201836 |  1567.43 |  -9831.42
 Adams                          | Walter               | Midway   |           218830 |  1769.43 |  -3984.04
 Adkins                         | Evelyn               | Midway   |           210368 |    14.36 |  -5619.27
 Adkins                         | Jared                | Midway   |            45858 |  2973.64 | -14737.71
 Adkins                         | Kathleen             | Midway   |            58726 |  8710.56 | -16195.45
 Agee                           | Dora                 | Midway   |           217452 |  2097.93 |  -7874.59
 Aguilar                        | Eric                 | Midway   |            77596 |  3309.94 | -12791.24
 Aguilar                        | Nicole               | Midway   |           177480 |   817.18 |  -5598.35
 Aguirre                        | Ann                  | Midway   |           236408 |   320.94 |  -7932.00
 Ahmed                          | Robert               | Midway   |            24132 |   584.10 | -16669.68
 Ahrens                         | Christine            | Midway   |            39902 |  1998.83 | -10887.67
 Ainsworth                      | Donald               | Midway   |           197438 |    90.47 | -14227.62
 Alaniz                         | Alice                | Midway   |           221986 | 10705.47 | -10127.03
 Alarcon                        | George               | Midway   |           166192 |  1807.82 |   -678.04
 Alba                           | Beth                 | Midway   |           107156 |   398.15 |   1359.62
 Albers                         | Juanita              | Fairview |           184808 |  3535.66 | -10073.21
 Albert                         | Jeffrey              | Midway   |           238250 |  1927.20 |  -9322.37
 Albrecht                       | Thomas               | Midway   |           169846 |     0.00 |  -4815.85
 Albright                       | Leonor               | Midway   |           160964 |  5613.61 | -14217.31
 Albright                       | Susan                | Midway   |           152062 |    39.20 |  -3534.25
 Aldrich                        | April                | Midway   |           192872 |  5017.93 | -11686.70
 Aldrich                        | Evelyn               | Midway   |           149512 |   758.43 |  -7307.03
 Aldrich                        | Evelyn               | Midway   |            91580 |  1806.08 |  -5265.75
 Aldridge                       | Angela               | Midway   |           140562 |  2103.29 | -11539.13
 Alexander                      | April                | Midway   |           112536 |  9534.58 | -19500.61
 Alexander                      | Danny                | Fairview |           167178 |   634.17 |  -3339.02
 Alexander                      | Roger                | Midway   |           142066 |  2968.49 | -10560.60
 Alfaro                         | David                | Midway   |            89370 |   562.63 |  -9474.68
 Alfaro                         | David                | Midway   |            56110 |     0.00 |  -5420.89
 Alfaro                         | David                | Midway   |            89370 |          |          
 Alfonso                        | Kristine             | Midway   |            26140 |  7487.37 |  -9487.86
 Alfonso                        | Tanya                | Fairview |           162286 |  4003.57 |  -6489.70
 Alfonso                        | Tanya                | Fairview |           162286 |     0.00 |   -283.20
 Alford                         | Roberta              | Midway   |            15770 |  5271.15 |  -7286.77
 Alford                         |                      | Midway   |            69340 |  3084.08 | -12376.30
 Alfred                         | Helen                | Midway   |           192604 |   501.39 |  -4541.86
 Alger                          | Brandi               | Midway   |           127778 |   186.08 |  -2828.15
 Ali                            | Henry                | Midway   |            72418 |   231.31 |  -6663.34
 Alicea                         | Carrie               | Midway   |           129038 |  2514.95 |  -1019.93
 Allard                         | John                 | Midway   |            20098 |     1.45 | -16478.51
 Allen                          | Barbara              | Fairview |            87550 |  6913.59 | -26018.80
 Allen                          | Bill                 | Fairview |           144210 |   351.66 |  -5655.63
 Allen                          | Brian                | Midway   |           140968 |   565.44 | -26479.38
 Allen                          | Charles              | Midway   |            48482 |    54.17 |  -3421.60
 Allen                          | Charles              | Midway   |            48482 |     0.00 |    801.36
 Allen                          | David                | Fairview |            46354 |  2987.79 |  -8400.65
 Allen                          | Donald               | Midway   |            18622 |  3038.42 | -10480.86
 Allen                          | Dwayne               | Fairview |           191320 |  1243.32 | -11898.16
 Allen                          | Earnestine           | Midway   |           159660 |  1533.49 | -16606.99
 Allen                          | Earnestine           | Midway   |           159660 |          |          
 Allen                          | Gary                 | Midway   |            15694 |     1.67 |  -2566.62
 Allen                          | John                 | Fairview |           207020 |  3598.03 | -13469.52
 Allen                          | John                 | Midway   |            59684 |  1276.00 |  -2304.97
 Allen                          | Joseph               | Fairview |            36086 |  1021.67 | -19252.21
 Allen                          | Kenneth              | Midway   |            79152 |  1541.76 | -12112.49
 Allen                          | Leslie               | Midway   |            11150 |     0.00 | -10958.34
 Allen                          | Maurice              | Fairview |           125102 |  3857.82 | -18956.97
 Allen                          | Nancey               | Midway   |            96626 |   492.81 |  -5141.38
 Allen                          | Susie                | Midway   |           136036 |  3599.85 | -21208.15
 Allen                          | Tasha                | Fairview |           161230 |   138.16 |  -5454.18
 Allen                          | Terrence             | Midway   |            64886 |  5241.20 |  -8806.85
 Allison                        | Peggie               | Midway   |           146780 |  6966.19 |  -7455.22
(100 rows)

